Datetime,Open,High,Low,Close,Volume
2026-04-20 20:30:00+08:00,98.3,98.316,98.279,98.291,0.0
2026-04-20 21:00:00+08:00,98.295,98.341,98.283,98.335,0.0
2026-04-20 21:30:00+08:00,98.339,98.395,98.334,98.349,0.0
2026-04-20 22:00:00+08:00,98.35,98.395,98.337,98.376,0.0
2026-04-20 22:30:00+08:00,98.374,98.374,98.26,98.26,0.0
2026-04-20 23:00:00+08:00,98.259,98.278,98.19,98.232,0.0
2026-04-20 23:30:00+08:00,98.237,98.341,98.231,98.297,0.0
2026-04-21 00:00:00+08:00,98.298,98.318,98.265,98.288,0.0
2026-04-21 00:30:00+08:00,98.292,98.313,98.265,98.292,0.0
2026-04-21 01:00:00+08:00,98.295,98.318,98.254,98.314,0.0
2026-04-21 01:30:00+08:00,98.316,98.316,98.237,98.239,0.0
2026-04-21 02:00:00+08:00,98.236,98.264,98.215,98.254,0.0
2026-04-21 02:30:00+08:00,98.258,98.261,98.207,98.21,0.0
2026-04-21 03:00:00+08:00,98.21,98.223,98.171,98.189,0.0
2026-04-21 03:30:00+08:00,98.187,98.225,98.155,98.213,0.0
2026-04-21 04:00:00+08:00,98.217,98.306,98.215,98.283,0.0
2026-04-21 04:30:00+08:00,98.288,98.288,98.213,98.229,0.0
2026-04-21 05:00:00+08:00,98.229,98.26,98.143,98.146,0.0
2026-04-21 05:30:00+08:00,98.146,98.173,98.083,98.129,0.0
2026-04-21 06:00:00+08:00,98.131,98.209,98.126,98.134,0.0
2026-04-21 06:30:00+08:00,98.137,98.232,98.112,98.149,0.0
2026-04-21 07:00:00+08:00,98.154,98.178,98.039,98.053,0.0
2026-04-21 07:30:00+08:00,98.044,98.072,98.006,98.049,0.0
2026-04-21 08:00:00+08:00,98.051,98.056,98.015,98.037,0.0
2026-04-21 08:30:00+08:00,98.039,98.069,98.029,98.043,0.0
2026-04-21 09:00:00+08:00,98.045,98.077,98.02,98.073,0.0
2026-04-21 09:30:00+08:00,98.076,98.082,98.051,98.063,0.0
2026-04-21 10:00:00+08:00,98.065,98.067,98.012,98.048,0.0
2026-04-21 10:30:00+08:00,98.05,98.107,98.044,98.095,0.0
2026-04-21 11:00:00+08:00,98.096,98.098,98.035,98.052,0.0
2026-04-21 11:30:00+08:00,98.054,98.065,98.032,98.063,0.0
2026-04-21 12:00:00+08:00,98.063,98.075,98.047,98.065,0.0
2026-04-21 12:30:00+08:00,98.069,98.084,98.048,98.05,0.0
2026-04-21 13:00:00+08:00,98.054,98.068,98.048,98.052,0.0
2026-04-21 13:30:00+08:00,98.051,98.062,98.046,98.056,0.0
2026-04-21 14:00:00+08:00,98.054,98.054,98.041,98.053,0.0
2026-04-21 15:30:00+08:00,98.063,98.077,98.063,98.077,0.0
2026-04-21 16:00:00+08:00,98.073,98.1,98.068,98.098,0.0
2026-04-21 16:30:00+08:00,98.1,98.111,98.078,98.096,0.0
2026-04-21 17:00:00+08:00,98.097,98.105,98.071,98.079,0.0
2026-04-21 17:30:00+08:00,98.083,98.116,98.075,98.109,0.0
2026-04-21 18:00:00+08:00,98.109,98.131,98.096,98.114,0.0
2026-04-21 18:30:00+08:00,98.117,98.136,98.113,98.119,0.0
2026-04-21 19:00:00+08:00,98.118,98.156,98.115,98.136,0.0
