signal_date,signal_year,entry_date,entry_price,tx_ret,z2_ret,mdd,profit_twd,signal,hold
2020-02-10,2020,2020-02-11,11664.0,0.09387860082304526,0.1678523129315419,-0.5069340801766328,167852.3129315419,MA5 週線,6M
2020-02-18,2020,2020-02-19,11763.0,0.10116466887698716,0.18805643443137798,-0.5028646002490413,188056.43443137797,MA5 週線,6M
2020-02-20,2020,2020-02-21,11663.0,0.09311497899339792,0.13661857628794172,-0.4986021000368236,136618.57628794172,MA5 週線,6M
2020-03-06,2020,2020-03-09,10951.0,0.1512190667518948,0.19964108684368975,-0.45763475801227715,199641.08684368976,MA5 週線,6M
2020-04-01,2020,2020-04-06,9823.0,0.26977501781533136,0.6739393284008945,-0.11914146411554134,673939.3284008945,MA5 週線,6M
2020-04-13,2020,2020-04-14,10343.0,0.24460988107899062,0.6039981512187282,-0.11914146411554097,603998.1512187283,MA5 週線,6M
2020-04-21,2020,2020-04-22,10222.0,0.25758168655840347,0.5660536933844837,-0.11914146411554134,566053.6933844837,MA5 週線,6M
2020-05-04,2020,2020-05-05,10719.0,0.15803713032932176,0.35112751322747937,-0.11914146411554172,351127.51322747936,MA5 週線,6M
2020-05-14,2020,2020-05-15,10817.0,0.22594064897845983,0.5020432781382471,-0.11914146411554147,502043.27813824714,MA5 週線,6M
2020-05-22,2020,2020-05-25,10821.0,0.26910636724886794,0.6124790915380565,-0.11914146411554132,612479.0915380565,MA5 週線,6M
2020-05-29,2020,2020-06-01,11057.0,0.25513249525187665,0.5944151389236696,-0.11914146411554172,594415.1389236696,MA5 週線,6M
2020-06-11,2020,2020-06-12,11391.0,0.2638925467474322,0.5501359741512519,-0.11914146411554169,550135.974151252,MA5 週線,6M
2020-06-17,2020,2020-06-18,11395.0,0.23598069328652918,0.5196102342079147,-0.11914146411554126,519610.23420791473,MA5 週線,6M
2020-06-22,2020,2020-06-23,11456.0,0.23393854748603352,0.5141936410803383,-0.11914146411554151,514193.6410803383,MA5 週線,6M
2020-06-29,2020,2020-06-30,11470.0,0.24707933740191804,0.5656740431331022,-0.1191414641155417,565674.0431331022,MA5 週線,6M
2020-07-10,2020,2020-07-13,12204.0,0.2660603080957063,0.6392849220108436,-0.11914146411554152,639284.9220108436,MA5 週線,6M
2020-07-15,2020,2020-07-16,12029.0,0.28763820766481,0.623725764977797,-0.11914146411554156,623725.7649777969,MA5 週線,6M
2020-07-24,2020,2020-07-27,12498.0,0.27836453832613217,0.7075403201932722,-0.1191414641155413,707540.3201932722,MA5 週線,6M
2020-08-03,2020,2020-08-04,12629.0,0.19328529574788186,0.449183898353529,-0.12760460211506888,449183.898353529,MA5 週線,6M
2020-08-11,2020,2020-08-12,12655.0,0.2486764124851837,0.5196446939086876,-0.12760460211506877,519644.6939086876,MA5 週線,6M
2020-08-19,2020,2020-08-20,12298.0,0.28492437794763376,0.5169023426377692,-0.12760460211506885,516902.34263776924,MA5 週線,6M
2020-08-28,2020,2020-08-31,12589.0,0.2654698546349988,0.5560252347551478,-0.127604602115069,556025.2347551477,MA5 週線,6M
2020-09-04,2020,2020-09-07,12580.0,0.25969793322734497,0.5589796526984243,-0.12760460211506874,558979.6526984243,MA5 週線,6M
2020-09-09,2020,2020-09-10,12698.0,0.24602299574736178,0.5564082671857777,-0.12760460211506888,556408.2671857778,MA5 週線,6M
2020-09-18,2020,2020-09-21,12659.0,0.2647128525159965,0.5351218257231949,-0.12760460211506908,535121.8257231949,MA5 週線,6M
2020-10-15,2020,2020-10-16,12748.0,0.3223250705993097,0.7016109827459855,-0.12760460211506883,701610.9827459855,MA5 週線,6M
2020-10-21,2020,2020-10-22,12836.0,0.3493300093487068,0.805181688894921,-0.12760460211506888,805181.688894921,MA5 週線,6M
2020-10-23,2020,2020-10-26,12860.0,0.3417573872472784,0.7829566463824584,-0.12760460211506883,782956.6463824584,MA5 週線,6M
2020-10-27,2020,2020-10-28,12743.0,0.3753433257474692,0.8476221263820571,-0.12760460211506885,847622.1263820571,MA5 週線,6M
2020-11-25,2020,2020-11-26,13839.0,0.19835248211575982,0.43048824665418217,-0.25084761619774826,430488.24665418215,MA5 週線,6M
2020-11-30,2020,2020-12-01,13875.0,0.21535135135135136,0.47702619000520174,-0.25084761619774815,477026.19000520173,MA5 週線,6M
2020-12-10,2020,2020-12-11,14237.0,0.19119196459928356,0.38768753349068774,-0.2508476161977484,387687.5334906877,MA5 週線,6M
2020-12-18,2020,2020-12-21,14309.0,0.20581452232860437,0.456678089704889,-0.2508476161977481,456678.089704889,MA5 週線,6M
2020-12-22,2020,2020-12-23,14114.0,0.20185631288082756,0.42634642103490816,-0.250847616197748,426346.42103490815,MA5 週線,6M
2021-01-18,2021,2021-01-19,15888.0,0.12814702920443102,0.2906795729269809,-0.2508476161977481,290679.57292698085,MA5 週線,6M
